index,x,y,radius
0,0.1107790127519884,0.1107790127519884,0.11077901285148839
1,0.3167414650086849,0.09573232926679698,0.09573232936629697
2,0.5153991973496163,0.10306052010208701,0.103060520201587
3,0.7252167166715885,0.10679014458945663,0.10679014468895662
4,0.9153604993455553,0.08463950065444471,0.0846395007539447
5,0.09239155153040181,0.3131158099518068,0.0923915516299018
6,0.2575829504742439,0.40335878359306515,0.09584232580479103
7,0.4023652036026225,0.27162985146327867,0.09989835065244458
8,0.6130764466016491,0.2947460590285266,0.1120770890111578
9,0.8697788989715687,0.29460948876139054,0.1302211011279314
10,0.09392733723703926,0.4994283691389825,0.09392733733653925
11,0.25795055651532367,0.595219732949207,0.09601897581755771
12,0.4700365802438266,0.4986680755032695,0.13701043018713013
13,0.7246573832509132,0.49553176067391225,0.11762968810799594
14,0.9211396271259397,0.49728444620383916,0.07886037297356034
15,0.09259209491089837,0.685943022005284,0.09259209501039836
16,0.23704113631983703,0.7593524015867373,0.06944019376791766
17,0.40395729808230857,0.726905714334173,0.10060036787847113
18,0.6183341555591282,0.7026096037191839,0.11514888022123028
19,0.8667414272656793,0.7023095251092896,0.13325857283382084
20,0.11115617937175491,0.8888438206282451,0.1111561794712549
21,0.3179199570492925,0.9038486659944179,0.09615133410508205
22,0.5174044177911892,0.8965327666815028,0.10346723341799718
23,0.7260471603985392,0.8948174397705353,0.1051825603289647
24,0.9150737375864008,0.9150737375864008,0.08492626251309923
25,0.23632643059037875,0.23971052790163774,0.06918067641386796
