circle,x,y,radius
0,0.110779012790715890486477374499745228486125297303881232394825720292904940689057239873305561000,0.110779012790715890486477374499745228486125297303881232394825720292904940689057239873305561000,0.110779012790715890486477374499745228486125297303881232394825720292904940688057239873305559404
1,0.316741465026919090738291360064712863588216939933189515040333977411740133338242486017281627000,0.0957323293070215966961054284625625657405642181028606726112816098373339354163967070450476450000,0.0957323293070215966961054284625625657405642181028606726112816098373339354153967070450476434043
2,0.515399197348084034297758794642145506269947384266668478554288509804969016659998451427691945000,0.103060520141582476472528404280602004808622873626464488044961836349665944645964743238743461000,0.103060520141582476472528404280602004808622873626464488044961836349665944644964743238743459404
3,0.725216716649179371038380930717606813329818826832564396022064361616527309591375775170307028000,0.106790144628581006596745932301489421552886271632344774416779758637988953146917705811886361000,0.106790144628581006596745932301489421552886271632344774416779758637988953145917705811886359404
4,0.915360499304226918354076375538036555187584033820454556949361931534981708778031538259387058000,0.0846395006957730816459236244619634448124159661795454430506380684650182912219684617406129420000,0.0846395006957730816459236244619634448124159661795454430506380684650182912209684617406129404043
5,0.0923915515709588517343220951164577212403525673712287260473380719235554592499738590265467650000,0.313115809970401795107859298851849444996722793408003052533748326716802598538704500169948760000,0.0923915515709588517343220951164577212403525673712287260473380719235554592489738590265467634043
6,0.257582950498364367493788798489188528122017805737314071731160918909623353001251902458275482000,0.403358783602680964044362176961979862929389546535043041158239552692461289434039216446633820000,0.0958423257455047368675902589438365741619692045200263461065687720409107700439240746919314784043
7,0.402365203612337173839686463238193304452412206313082292722685595055532178365227760465896745000,0.271629851486001490345667287021063483981919681345665318360923442580203459690059030057679159000,0.0998983505927546987758993754698606465580623659716301252397654147238127212628250347320063304043
8,0.613076446590397918815325560213753069615952267707141717549620862464901880578469494507248838000,0.294746059048949326814995294788919292422132851700131236808218613404985627397419323699417127000,0.112077088950256133401763768979145941769846667579402537660764965725445083364045450128746688404
9,0.869778898934775623924522545019939291803993952105673375740792042429844482167905298646933765000,0.294609488781826897684294697921360993228457022704868465492578813797342739572100395676659260000,0.130221101065224376075477454980060708196006047894326624259207957570155517831094701353066233404
10,0.0939273372774435018672877322588641810810048406764453374393618638481414653556241963967184000000,0.499428369139039346091977154138613964468913673568537158602045354219757277677984376504868778000,0.0939273372774435018672877322588641810810048406764453374393618638481414653546241963967183984043
11,0.257950556539407555731316896066281002031609987279661800691026391626966263928748790735251623000,0.595219732939732719161283283062385890784084906720480859074119315533977379382164702773160708000,0.0960189757582538363730925952587227926419747426145101833141020642786439035994309166222972064043
12,0.470036580246807973046740919953813793445950653896677052898240306928851177746149522881921855000,0.498668075503402056492678455044878604610635018905392389455160922021266627161159231797343422000,0.137010430123747583636399778290888405915560895567961195652912550852855263488885469706456934404
13,0.724657383228559740702756690407873087393021862105844089084969015063029774645507894650561292000,0.495531760674356833212142690555483351952109375734563497807191839793820661895529451659951898000,0.117629688046541794712762341654601561943397172841298539423988172923223462625063865968159393404
14,0.921139627084036256558548118192271170628751776455245398712330880135135391937315103584745983000,0.497284446204109315861593225861108928480399798379316667357747910287741581825375518200043896000,0.0788603729159637434414518818077288293712482235447546012876691198648646080616848964152540154043
15,0.0925920949514354636324800478069544693054015187132861807931432385292103512713718932927879640000,0.685943021986782678505847526578606239967691415772313916853151745729099596257960412005646425000,0.0925920949514354636324800478069544693054015187132861807931432385292103512703718932927879624043
16,0.237041136346001465058194853175289622377908993746424453370864947296135536423640072174551816000,0.759352401560931779347648139135553250026579607167218949945830510009895894384547797831739704000,0.0694401937112583723419727489379629772761433840726520530794062566607805261436810260841896504043
17,0.403957298091864805995509992315091534578449551322948505309033585812856610084406287337654987000,0.726905714311595746998692972304170484486759825216159972342046618082926348979696636072718613000,0.100600367818711405681433767165946237462328037439200883613002369617238338608327214499735318404
18,0.618334155547353968814055337046822416072537370193016888292206954650511720468481243417930110000,0.702609603699024278993549253798746767061884054824914140434610709471766808498145187978290054000,0.115148880160022989180727894295815238854476569436890251394249137741269607671300744879537569404
19,0.866741427229188401634337534570566659983141361874500970505247412635325187219813817336641594000,0.702309525089159810552977857504540532742549879928243368995004554201655262931965694634142769000,0.133258572770811598365662465429433340016858638125499029494752587364674812779186182663358404404
20,0.111156179410444868573889925544221568948084736019740812747861472955464228333160085785391882000,0.888843820589555131426110074455778431051915263980259187252138527044535771666839914214608118000,0.111156179410444868573889925544221568948084736019740812747861472955464228332160085785391880404
21,0.317919957067409432571427297226504846182448341037196539019321196097651225865600090580613812000,0.903848665954235004822116716699564932254593096745501394072377145185146192312532217427505948000,0.0961513340457649951778832833004350677454069032544986059276228548148538076864677825724940504043
22,0.517404417789457460483359191117173826162324821932185932482993864283516255463254339516674940000,0.896532766642047803874660098756236090670299569552572791257981481789452932845956538015347901000,0.103467233357952196125339901243763909329700430447427208742018518210547067153043461984652097404
23,0.726047160376047586944779064351163385029126182532133778648922508389719308661872086086717108000,0.894817439731250966658632346688433081418151786237306755161566738182646158382482428838187605000,0.105182560268749033341367653311566918581848213762693244838433261817353841616517571161812393404
24,0.915073737545100930115457002759410393671385094665945785889877756811889947895081542866560274000,0.915073737545100930115457002759410393671385094665945785889877756811889947895081542866560274000,0.0849262624548990698845429972405896063286149053340542141101222431881100521039184571334397244043
25,0.236326430616614296365709148328541877913901183634695130295649217721023888903017727059626389000,0.239710527927536547837874288959886664281249411957822646837606687633908233239180669472039822000,0.0691806763572344820974407544002623682677761062418515460549932416266808959736405968686212814043
