circle,x,y,radius
0,0.1107786235699233,0.1107786235699233,0.11077962356942331
1,0.31674128176847577,0.09573192503955305,0.09573292503905306
2,0.5153992127472737,0.1030601232023011,0.10306112320180111
3,0.7252169418657834,0.10678975141892225,0.10679075141842226
4,0.9153609146645186,0.08463908533548146,0.08464008533498148
5,0.09239114396271424,0.31311562308630525,0.09239214396221425
6,0.25758270808143613,0.40335868696151295,0.09584292158753258
7,0.4023651059775897,0.2716296231159672,0.09989895049080537
8,0.613076559666788,0.29474585379511103,0.11207770102703907
9,0.8697792687134898,0.2946092833914184,0.13022173128601033
10,0.09392693120498381,0.49942836856740885,0.09392793120448382
11,0.25795031449008515,0.5952198281594181,0.09601957177693159
12,0.47003655028340324,0.49866807417147824,0.13701106713385922
13,0.7246576078858307,0.4955317562061198,0.11763030567592105
14,0.9211400482234529,0.49728444348855694,0.07886095177604725
15,0.09259168754373412,0.6859432079297118,0.09259268754323413
16,0.2370408733872693,0.7593526609132036,0.06944076315116737
17,0.403957202049211,0.7269059412171966,0.10060096841877894
18,0.6183342738814503,0.7026098063085267,0.11514949530859558
19,0.8667417939704324,0.7023097273985838,0.13325920602906774
20,0.11115579056681871,0.8888442094331813,0.11115679056631872
21,0.3179197749874576,0.9038490698026991,0.09615193019680097
22,0.5174044351938666,0.8965331631746163,0.10346783682488384
23,0.726047386423095,0.8948178345484933,0.10518316545100674
24,0.915074152618631,0.915074152618631,0.08492684738086909
25,0.23632616694317676,0.23971026763819467,0.06918124553762627
